date,type,repo,downloads,likes
2026-07-16,dataset,SZLHOLDINGS/SZLHOLDINGS,78,0
2026-07-16,dataset,SZLHOLDINGS/a11oy-verifiable-corpus,2009,0
2026-07-16,dataset,SZLHOLDINGS/alloy-sovereign-eval-runs,42,0
2026-07-16,dataset,SZLHOLDINGS/canonical-formulas-v1,91,0
2026-07-16,dataset,SZLHOLDINGS/doctrine-v10-v11,108,0
2026-07-16,dataset,SZLHOLDINGS/energy-attested-runs,69,0
2026-07-16,dataset,SZLHOLDINGS/governed-receipts-bench,64,0
2026-07-16,dataset,SZLHOLDINGS/k-verify-benchmark-v1,92,0
2026-07-16,dataset,SZLHOLDINGS/killinchu-osint-corpus,17037,1
2026-07-16,dataset,SZLHOLDINGS/lean-proofs-v1,184,0
2026-07-16,dataset,SZLHOLDINGS/lean-theorem-tree,122,0
2026-07-16,dataset,SZLHOLDINGS/ouroboros-arxiv-preprint,123,0
2026-07-16,dataset,SZLHOLDINGS/rag-corpus-v1,159,0
2026-07-16,dataset,SZLHOLDINGS/readiness-runs,170,0
2026-07-16,dataset,SZLHOLDINGS/szl-1-doctrine-sft,33,0
2026-07-16,dataset,SZLHOLDINGS/szl-artifacts,191,0
2026-07-16,dataset,SZLHOLDINGS/szl-lake,1108,0
2026-07-16,dataset,SZLHOLDINGS/szl-second-brain-inrepo,57,0
2026-07-16,dataset,SZLHOLDINGS/thesis-corpus-v18,141,0
2026-07-16,dataset,SZLHOLDINGS/thesis-v18-formal-verification,138,0
2026-07-16,dataset,SZLHOLDINGS/uds-bundles-v1,100,0
2026-07-16,dataset,SZLHOLDINGS/uds-governance-receipts,396,0
2026-07-16,dataset,SZLHOLDINGS/uds-spans-receipts,232,0
2026-07-16,dataset,SZLHOLDINGS/why-we-lead,126,0
2026-07-16,model,SZLHOLDINGS/SZL-Forge-1.5B-ReceiptAgent,780,1
2026-07-16,model,SZLHOLDINGS/SZL-Khipu-1.5B-BrainNavigator,1033,1
2026-07-16,model,SZLHOLDINGS/SZL-Khipu-1.5B-GGUF,189,0
2026-07-16,model,SZLHOLDINGS/a11oy-v19-substrate,0,0
2026-07-16,model,SZLHOLDINGS/governed-inference-meter,0,0
2026-07-16,model,SZLHOLDINGS/szl-blocked,0,1
2026-07-16,model,SZLHOLDINGS/szl-formulas,0,0
2026-07-16,model,SZLHOLDINGS/szl-governed-norm,44,1
2026-07-16,model,SZLHOLDINGS/szl-govsign,0,0
2026-07-16,model,SZLHOLDINGS/szl-invariants,0,0
2026-07-16,model,SZLHOLDINGS/szl-kernels,36,0
2026-07-16,model,SZLHOLDINGS/szl-lambda-gate,38,0
2026-07-16,model,SZLHOLDINGS/szl-nemo,5,0
2026-07-16,model,SZLHOLDINGS/szl-ouroboros,0,0
2026-07-16,model,SZLHOLDINGS/szl-provctl,0,0
2026-07-16,space,SZLHOLDINGS/a11oy,,0
2026-07-16,space,SZLHOLDINGS/anatomy,,0
2026-07-16,space,SZLHOLDINGS/cosmos,,0
2026-07-16,space,SZLHOLDINGS/david-leads,,0
2026-07-16,space,SZLHOLDINGS/energy-attest-holo,,0
2026-07-16,space,SZLHOLDINGS/energy-attested-runs,,0
2026-07-16,space,SZLHOLDINGS/governed-norm-holo,,0
2026-07-16,space,SZLHOLDINGS/governed-receipt-verifier,,0
2026-07-16,space,SZLHOLDINGS/guardrail-receipt,,0
2026-07-16,space,SZLHOLDINGS/hatun-mcp,,0
2026-07-16,space,SZLHOLDINGS/holographic,,0
2026-07-16,space,SZLHOLDINGS/immune,,0
2026-07-16,space,SZLHOLDINGS/killinchu,,2
2026-07-16,space,SZLHOLDINGS/lambda-gate-holo,,0
2026-07-16,space,SZLHOLDINGS/llm-router-live,,0
2026-07-16,space,SZLHOLDINGS/receipt-chain-live,,0
2026-07-16,space,SZLHOLDINGS/sda,,0
2026-07-16,space,SZLHOLDINGS/szl-blocked-live,,0
2026-07-16,space,SZLHOLDINGS/szl-estate-live,,0
2026-07-16,space,SZLHOLDINGS/szl-forge-lab,,0
2026-07-16,space,SZLHOLDINGS/szl-govsign-live,,0
2026-07-16,space,SZLHOLDINGS/szl-kernels-live,,0
2026-07-16,space,SZLHOLDINGS/szl-model-inference-lab,,0
2026-07-16,space,SZLHOLDINGS/szl-provctl-live,,0
2026-07-16,space,SZLHOLDINGS/yarqa,,0
